Result for strategy E0V1E320
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|        XAI/USDT |         2 |           2.37 |           4.73 |           246.025 |          24.60 |         0:35:00 |     2     0     0   100 |
|      PIXEL/USDT |         5 |           2.44 |          12.18 |           240.509 |          24.05 |         1:42:00 |     4     0     1  80.0 |
|        ALT/USDT |         3 |           1.69 |           5.07 |           220.816 |          22.08 |         0:38:00 |     3     0     0   100 |
|       KAVA/USDT |         1 |           1.06 |           1.06 |           214.889 |          21.49 |         0:50:00 |     1     0     0   100 |
|      ALICE/USDT |         2 |           2.48 |           4.96 |           183.568 |          18.36 |         0:42:00 |     1     0     1  50.0 |
|      CYBER/USDT |         1 |           3.39 |           3.39 |           176.592 |          17.66 |         0:20:00 |     1     0     0   100 |
|       FIDA/USDT |        10 |           0.94 |           9.41 |           172.606 |          17.26 |         1:00:00 |     7     0     3  70.0 |
|         ZK/USDT |         4 |           1.15 |           4.60 |           155.389 |          15.54 |         0:45:00 |     2     0     2  50.0 |
|       LQTY/USDT |         2 |           0.99 |           1.98 |           144.625 |          14.46 |         0:32:00 |     2     0     0   100 |
|          W/USDT |         4 |           1.70 |           6.82 |           123.230 |          12.32 |         0:54:00 |     3     0     1  75.0 |
|      ETHFI/USDT |         5 |           1.84 |           9.19 |           113.027 |          11.30 |         0:20:00 |     4     0     1  80.0 |
|      CETUS/USDT |         3 |           0.36 |           1.09 |           105.226 |          10.52 |         0:45:00 |     2     0     1  66.7 |
|        PYR/USDT |         1 |           4.62 |           4.62 |           103.462 |          10.35 |         0:15:00 |     1     0     0   100 |
|       DUSK/USDT |         4 |           1.80 |           7.21 |            95.999 |           9.60 |         1:28:00 |     3     0     1  75.0 |
|        TRU/USDT |         4 |          -0.03 |          -0.13 |            90.714 |           9.07 |         1:14:00 |     2     0     2  50.0 |
|     PORTAL/USDT |         2 |           1.24 |           2.49 |            81.793 |           8.18 |         0:58:00 |     1     0     1  50.0 |
|       LUNC/USDT |         1 |           2.59 |           2.59 |            81.380 |           8.14 |         0:00:00 |     1     0     0   100 |
|        ONG/USDT |         3 |           0.70 |           2.10 |            77.539 |           7.75 |         1:45:00 |     2     0     1  66.7 |
|        SUN/USDT |         5 |           0.25 |           1.27 |            74.658 |           7.47 |         1:31:00 |     3     0     2  60.0 |
|       TNSR/USDT |         3 |           0.27 |           0.81 |            70.290 |           7.03 |         1:03:00 |     1     0     2  33.3 |
|       CITY/USDT |         3 |           1.67 |           5.01 |            67.640 |           6.76 |         0:40:00 |     2     0     1  66.7 |
|      METIS/USDT |         1 |           3.71 |           3.71 |            66.847 |           6.68 |         3:20:00 |     1     0     0   100 |
|      POLYX/USDT |         4 |           1.17 |           4.67 |            62.264 |           6.23 |         0:36:00 |     4     0     0   100 |
|         SC/USDT |         1 |           1.43 |           1.43 |            57.992 |           5.80 |         1:10:00 |     1     0     0   100 |
|       MBOX/USDT |         3 |           0.61 |           1.83 |            56.024 |           5.60 |         0:25:00 |     3     0     0   100 |
|       AEVO/USDT |         3 |           1.84 |           5.51 |            52.539 |           5.25 |         1:20:00 |     2     0     1  66.7 |
|        SYS/USDT |         8 |           1.43 |          11.44 |            47.011 |           4.70 |         5:00:00 |     7     0     1  87.5 |
|       LINA/USDT |         3 |           1.46 |           4.39 |            46.300 |           4.63 |         1:27:00 |     2     0     1  66.7 |
|        XEC/USDT |         2 |           3.55 |           7.10 |            42.190 |           4.22 |         0:35:00 |     2     0     0   100 |
|       OMNI/USDT |         3 |           0.62 |           1.87 |            37.615 |           3.76 |         1:40:00 |     2     0     1  66.7 |
|        GNS/USDT |         1 |           1.41 |           1.41 |            36.377 |           3.64 |         0:30:00 |     1     0     0   100 |
|        DOT/USDT |         1 |           0.17 |           0.17 |            31.502 |           3.15 |         0:20:00 |     1     0     0   100 |
|       MEME/USDT |         1 |           4.08 |           4.08 |            26.676 |           2.67 |         0:10:00 |     1     0     0   100 |
|      VANRY/USDT |         4 |           0.94 |           3.75 |            24.825 |           2.48 |         1:01:00 |     2     0     2  50.0 |
|       SAGA/USDT |         7 |           1.10 |           7.68 |            23.663 |           2.37 |         1:04:00 |     4     0     3  57.1 |
|   1000SATS/USDT |         1 |           0.50 |           0.50 |            20.783 |           2.08 |         0:30:00 |     1     0     0   100 |
|       WAXP/USDT |         1 |           0.58 |           0.58 |            10.394 |           1.04 |         0:20:00 |     1     0     0   100 |
|        NKN/USDT |         1 |           0.41 |           0.41 |             8.635 |           0.86 |         0:15:00 |     1     0     0   100 |
|      THETA/USDT |         1 |           0.84 |           0.84 |             5.868 |           0.59 |         1:05:00 |     1     0     0   100 |
|        JOE/USDT |         1 |           0.65 |           0.65 |             5.670 |           0.57 |         0:10:00 |     1     0     0   100 |
|       HIGH/USDT |         2 |           0.06 |           0.12 |             3.901 |           0.39 |         1:12:00 |     1     0     1  50.0 |
|        ZIL/USDT |         1 |           0.26 |           0.26 |             1.378 |           0.14 |         0:25:00 |     1     0     0   100 |
|        BNT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       EGLD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        AXS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        WOO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       NEXO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       AAVE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     BADGER/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        BAL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|      MAGIC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        IMX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       FLOW/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        LDO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        GMX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       CELR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       ANKR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       DYDX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       DENT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|         OP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        SEI/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       BIFI/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|       ASTR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        ILV/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
